TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,6,26,20,0.03,0.03,6.096500000000006,58,72.41379310344827
15min,6,60,50,0.05,0.02,6.096499999999935,59,49.152542372881356
5min,12,50,30,0.05,0.03,6.0939999999999515,71,52.112676056338024
15min,6,15,10,0.05,0.01,6.088500000000025,64,39.0625
5min,9,15,10,0.05,0.01,6.083500000000072,101,31.683168316831683
15min,12,50,30,0.05,0.03,6.082999999999956,53,56.60377358490566
15min,3,60,20,0.03,0.03,6.059500000000014,74,67.56756756756756
15min,6,15,20,0.03,0.03,6.059500000000014,52,75.0
15min,9,26,30,0.05,0.03,6.038499999999971,45,60.0
15min,6,26,20,0.05,0.02,6.021499999999946,53,50.943396226415096
15min,6,50,10,0.05,0.01,6.020999999999958,82,34.146341463414636
15min,6,20,20,0.05,0.01,6.003500000000017,61,39.34426229508197
15min,9,60,50,0.05,0.03,6.000999999999976,51,56.86274509803921
5min,12,60,20,0.05,0.02,5.9969999999999,93,41.935483870967744
5min,12,26,10,0.05,0.01,5.990000000000052,119,29.411764705882355
15min,6,20,50,0.05,0.01,5.987000000000009,43,48.837209302325576
15min,12,60,50,0.05,0.03,5.978999999999971,48,58.333333333333336
5min,9,60,50,0.05,0.03,5.97049999999993,61,54.09836065573771
15min,6,10,20,0.05,0.01,5.967500000000015,43,48.837209302325576
5min,12,50,50,0.05,0.01,5.963999999999984,81,34.5679012345679
15min,6,50,10,0.05,0.02,5.960499999999939,66,46.96969696969697
15min,9,60,10,0.05,0.02,5.949499999999944,70,45.714285714285715
5min,12,26,20,0.05,0.01,5.9475000000000335,99,31.313131313131315
15min,3,15,30,0.05,0.03,5.945999999999998,40,62.5
15min,9,15,10,0.05,0.01,5.94250000000001,62,38.70967741935484
5min,12,50,30,0.05,0.01,5.9339999999999975,105,30.476190476190478
15min,9,60,20,0.05,0.01,5.924499999999966,78,34.61538461538461
5min,12,50,30,0.05,0.02,5.919999999999902,84,42.857142857142854
5min,9,20,10,0.05,0.01,5.919500000000056,120,29.166666666666668
15min,6,60,20,0.03,0.03,5.919499999999999,71,67.6056338028169
5min,12,60,20,0.05,0.01,5.9125000000000085,120,29.166666666666668
5min,12,26,10,0.05,0.03,5.907999999999944,74,51.35135135135135
15min,9,15,20,0.05,0.01,5.902000000000001,50,44.0
5min,12,20,10,0.05,0.03,5.896499999999946,69,52.17391304347826
15min,6,20,30,0.05,0.01,5.891999999999996,56,41.07142857142857
5min,12,60,50,0.05,0.02,5.890499999999918,74,44.5945945945946
5min,12,60,50,0.05,0.01,5.886999999999972,88,32.95454545454545
15min,9,60,10,0.05,0.01,5.878499999999946,84,33.33333333333333
15min,12,60,30,0.05,0.03,5.873499999999964,54,55.55555555555556
15min,6,15,30,0.05,0.02,5.872999999999962,44,54.54545454545454
15min,3,26,30,0.03,0.03,5.872499999999988,59,71.1864406779661
15min,6,20,10,0.05,0.02,5.865999999999971,57,49.122807017543856
15min,6,20,30,0.03,0.03,5.864999999999981,49,75.51020408163265
15min,3,26,10,0.03,0.03,5.863500000000016,65,69.23076923076923
5min,6,26,20,0.05,0.03,5.852999999999952,69,52.17391304347826
15min,3,20,10,0.03,0.03,5.8515000000000015,63,69.84126984126983
15min,3,20,30,0.03,0.03,5.839499999999987,55,72.72727272727273
15min,3,50,20,0.03,0.03,5.828000000000017,71,67.6056338028169
5min,9,50,50,0.05,0.01,5.820500000000052,94,31.914893617021278
15min,3,10,10,0.03,0.03,5.818000000000012,59,71.1864406779661
5min,12,50,50,0.05,0.03,5.817499999999953,59,54.23728813559322
5min,12,26,20,0.05,0.02,5.808999999999912,78,43.58974358974359
15min,9,26,50,0.05,0.03,5.804499999999976,38,63.1578947368421
15min,6,15,10,0.05,0.02,5.802999999999997,54,50.0
15min,3,10,30,0.05,0.03,5.802499999999981,38,63.1578947368421
15min,3,10,30,0.05,0.01,5.794499999999985,52,42.30769230769231
15min,6,50,30,0.05,0.02,5.7794999999999135,61,47.540983606557376
