fast,slow,confirm,band_mode,atr_k,band_bps,tp_pct,sl_pct,trend_ema,cooldown,fee_bps,size,trades,freq_per_hour,total_pnl,avg_pnl,win_rate,profit_factor,mdd,sharpe
9,55,1,bps,0.0,120.0,0.02,0.01,200,1,0.0,10.0,37614,8.707112405717702,712.0360000000534,0.0189300792258215,0.4962779816025948,1.0129509079909984,-0.0591842753793672,1.3701549384533995
9,26,1,atr_pct,0.3,0.0,0.015,0.015,0,0,0.0,10.0,51802,11.991435019965662,710.2940000000344,0.0137117099725885,0.4979923555075093,1.0093670080402664,-0.0717562602131411,1.1374562582282828
9,26,1,atr_pct,0.3,0.0,0.015,0.015,0,1,0.0,10.0,51802,11.991435019965662,710.2940000000344,0.0137117099725885,0.4979923555075093,1.0093670080402664,-0.0717562602131411,1.1374562582282828
9,26,1,atr_pct,0.3,0.0,0.02,0.01,0,0,0.0,10.0,51778,11.985879357240687,687.0079999999735,0.0132683379041286,0.4960794159681718,1.009073987987395,-0.1141172275588444,1.094568060276843
9,26,1,atr_pct,0.3,0.0,0.02,0.01,0,1,0.0,10.0,51778,11.985879357240687,687.0079999999735,0.0132683379041286,0.4960794159681718,1.009073987987395,-0.1141172275588444,1.094568060276843
9,26,1,atr_pct,0.3,0.0,0.02,0.01,200,0,0.0,10.0,51559,11.935183934875289,674.7139999999747,0.0130862507030775,0.4959560891405962,1.0089666257340562,-0.0980737148415686,1.017629384277804
9,26,1,atr_pct,0.3,0.0,0.02,0.01,200,1,0.0,10.0,51559,11.935183934875289,674.7139999999747,0.0130862507030775,0.4959560891405962,1.0089666257340562,-0.0980737148415686,1.017629384277804
21,26,1,atr_pct,0.3,0.0,0.02,0.01,0,0,0.0,10.0,50810,11.76180096066668,667.5379999999765,0.0131379256051953,0.4941546939578823,1.0090968047980422,-0.0919768788663043,1.0327363721386744
21,26,1,atr_pct,0.3,0.0,0.02,0.01,0,1,0.0,10.0,50810,11.76180096066668,667.5379999999765,0.0131379256051953,0.4941546939578823,1.0090968047980422,-0.0919768788663043,1.0327363721386744
9,26,1,bps,0.0,120.0,0.015,0.015,0,0,0.0,10.0,13759,3.185015143039025,663.8474999999902,0.0482482375172607,0.5008358165564358,1.0336658660480929,-0.031034424050843,3.377329564858069
9,26,1,bps,0.0,120.0,0.015,0.015,0,1,0.0,10.0,13759,3.185015143039025,663.8474999999902,0.0482482375172607,0.5008358165564358,1.0336658660480929,-0.031034424050843,3.377329564858069
9,26,1,bps,0.0,120.0,0.015,0.015,200,0,0.0,10.0,13759,3.185015143039025,663.8474999999902,0.0482482375172607,0.5008358165564358,1.0336658660480929,-0.031034424050843,3.377329564858069
9,26,1,bps,0.0,120.0,0.015,0.015,200,1,0.0,10.0,13759,3.185015143039025,663.8474999999902,0.0482482375172607,0.5008358165564358,1.0336658660480929,-0.031034424050843,3.377329564858069
21,26,2,atr_pct,1.0,0.0,0.015,0.01,0,0,0.0,10.0,21391,4.951715889581203,661.9494999999811,0.0309452339769052,0.4988546585012388,1.0240178272316678,-0.0407335644452289,2.386953134299311
21,26,2,atr_pct,1.0,0.0,0.015,0.01,0,1,0.0,10.0,21391,4.951715889581203,661.9494999999811,0.0309452339769052,0.4988546585012388,1.0240178272316678,-0.0407335644452289,2.386953134299311
